ID,rating,text,split
0,1,"don t waste your time .   we had two different people come to our house to give us estimates for a deck  one of them the owner  .   both times ,  we never heard from them .   not a call ,  not the estimate ,  nothing . ",train
1,1,"i bought a three month membership last year ,  mainly to attend the silver sneakers classes .  i was in my early sixties and hadn t exercised in a while .  i tried the evening classes but they were very crowded and difficult ,  so i tried a morning class for seniors .  i like to stretch out before my class actually starts ,  so i went to the tail end of a yoga class .  the women in this class were very nasty to me and told me that i wasn t welcome to stretch out in their class .  i never went back thanks to the attitude of the other members .  i didn t feel welcome here .  i complained to the manager ,  who said that i was welcome to stretch out in whatever class i wanted to ,  but the hostility of these yoga students was very evident .  do they think that this is their private gym ? ",train
2,1,this starbucks is teeny tiny !  n nseating inside is very limited .   this is a starbucks to grab and go and continue your shopping at the waterfront .  n nbaristas are friendly and fast . ,train
3,1,"okay ,  so hopefully you haven t been enjoying happy hour   riley s pour house before you read this or you might not be able to follow the lilting irish owners .   n nto recap  murphy s pour house from           .  sullivan s pour house from           .  paddy s pour house from           .  and ,  bagpipe please ,  riley s pour house opens march   of      .  still with me ?  n nit s a tiny long bar just like the old irish pubs .  no more smoking allowed .  hurrah !  !  !   same lousy service .   n nmy guess is that the entire place needs  no ,  strike that  .  .  .  .  demands  an automated food beverage ticketing system .  none of the cooks ,  bartenders ,  or waitresses know who ordered what nor what ticket belongs to which table .  it s actually pretty funny if you re not a  hungry or b  thirsty .   n ni really really want this place to do better .  we need more irish pubs and local old time watering holes .   n nget it together ,  murphy s  .  .  .  er ,  i mean sullivan s .  .  .  . er ,  i mean paddy s or is it riley s ?       .   whatever the case ,  they have cold guinness .  and irish music .   and fun patrons . ",train
4,1,"my expectations for mcdonalds are t rarely high .  but for one to still fail so spectacularly .  .  . that takes something special !  nthe cashier took my friends s order ,  then promptly ignored me .  i had to force myself in front of a cashier who opened his register to wait on the person behind me .  i waited over five minutes for a gigantic order that included precisely one kid s meal .  after watching two people who ordered after me be handed their food ,  i asked where mine was .  the manager started yelling at the cashiers for   serving off their orders   when they didn t have their food .  but neither cashier was anywhere near those controls ,  and the manager was the one serving food to customers and clearing the boards .  nthe manager was rude when giving me my order .  she didn t make sure that i had everything on my receipt ,  and never even had the decency to apologize that i felt i was getting poor service .  ni ve eaten at various mcdonalds restaurants for over    years .  i ve worked at more than one location .  i expect bad days ,  bad moods ,  and the occasional mistake .  but i have yet to have a decent experience at this store .  it will remain a place i avoid unless someone in my party needs to avoid illness from low blood sugar .  perhaps i should go back to the racially biased service of steak n shake instead ! ",train
5,1,"i will start by saying we have a nice new deck .  that is where the good part ends .  n nwhy two stars if we have a nice deck now ?  well ,  it all started in may when we had a man named al come out and talk to us about the process .  he was a true salesman ,  i ll tell you that .  not a straight shooter ,  but an excited salesman that wanted to sell .  .  .  and we bought into it .  n nhe told us they were backed up with the harsh winter and a lot of jobs ,  but they could probably start by june   th .  mind you ,  this was the end of may we met with him .  he said they would have to do a survey of our land and get a permit from dormont before they started .  we felt confident in going with them ,  and booked it .  n nhere s where things fell apart .  weeks went by with no word from them on the process .  finally i called and left messages .  al finally got in touch with me and the conversation was utterly confusing .  he must have not understood me because he just kept talking in circles .  so i hung up not knowing what was going on .  finally i called back and the admin told me that the survey could take a couple weeks to come back .  i wish al would have told us that .  n nso our june   th date came and went .  we finally got our survey .  and they were quick to bill us for it ,  but no word on where we were in the process .  i called back a couple times with no real answers from the admin .  apparently they were now waiting for the permit from dormont .  n na month later ,  i was frustrated and asked to speak with someone at the company .  i spoke with someone who told me that dormont usually takes a week to process the permit ,  but we were now going on a month .  he told me he would bug the guy about it and we finally got it .   n ni completely understand that waiting on the permit is not their fault ,  but why no communication about it ?  just call me and tell me they re waiting for the permit ,  but they ll work towards asking dormont what the hold up is .  seems simple .  n nfinally we get the permit and work is supposed to start .  tuesday comes and they have to wait for approval from dormont on holes they re digging .  so holes are dug and equipment is put in my backyard and then nothing happens for two days .  where did everyone go ?  who knows ,  because i wasn t informed !   n ni was upset and contacted the company owner ,  dave ,  by email .  i told him how frustrated i was about the lack of communication .  he wrote me two sentences that  said   there will be acres there tomorrow morning to finish and most will be done tomorrow .    well ,  that didn t happen .  n nthen two other dudes show up two days later and did work for about three hours and left .  the main guy comes back the next day and says they did it wrong .  so apparently the part about how they wouldn t need access to my house changes to they re drilling bolts into my house to secure he deck .   n nfinally ,  the second week into construction ,  my tiny   x   foot deck is done .  it was upsetting that they left the deck dirty ,  and all the dirt and cement they moved around wasn t cleaned up .  i even asked them to fill all the holes they dug up and didn t use ,  and they only filled up one .  when you create a construction project ,  isn t it just good business to clean it up and make it look nice ?  didn t happen here .  n nmy main point is ,  contractors have a reputation for not being the most trustworthy .  why be that company ?  why not be an upstanding company that consumers can trust ?  my main issues with them were that things were not communicated to me properly up front ,  nor was the ongoing process communicated to me .  then they left everything unfinished in my eyes ,  leaving the site dirty .  i understand things happen and things get delayed ,  but just email or call me .  it s not that hard to keep me updated ,  it is      with a million ways to be contacted .  n neven though i have a nice deck  after i clean things up myself !   ,  i would not recommend them to anyone . ",train
6,1,"this place is absolute garbage .  .  .   half of the tees are not available ,  including all the grass tees .   it is cash only ,  and they sell the last bucket at   ,  despite having lights .   and if you finish even a minute after   ,  don t plan on getting a drink .   the vending machines are sold out  of course  and they sell drinks inside ,  but close the drawers at   on the dot .   there are weeds grown all over the place .   i noticed some sort of batting cage ,  but it looks like those are out of order as well .   someone should buy this place and turn it into what it should be . ",train
7,1,"i m not a huge fan of this location .  i think that it was oddly built  the small ,  alley like front makes it difficult to get past people on your way to from the bathroom or tables when it s busy .  and there s hardly any tables to sit at .  furthermore ,  people tend to clog the front on their way in ,  which makes things particularly difficult  especially in the winter weather  .  the staff were pretty impersonal to be ,  but maybe that was due to the high traffic of the place and the time i was there .  and the coffee that i had was cold  i m sure it was probably the bottom of the batch .  i d probably only walk in here again if someone else suggested it before or after a movie or while we were shopping in the area . ",train
8,1,"in general i do like shake n  steak ,  but this location is a hit or miss location !   you never know what kind of quality or service you re going to find here .   a friend and myself went a few weeks back after a movie and it had to be one of the worst trips there ever !   you can t entirely blame the waitress since she was the only one there for the entire place .  .  . poor scheduling on the manager s part .  however ,  while she can t be accountable for the slooooow service ,  she was accountable for both orders being incorrect .   the burgers were over cooked and the fries were soggie and the milkshake was runny at best .  .  .  n nby far my worst visit to steak n  shake ! ",train
9,1,"service in this place is poor because of lack of acknowledgment since people working there are   just   working  .  they have nice decor , nice bar and good bread .  consider where this place is  , the prices are really really high  .  nothing is served on the side with main dishes  .  .  .  . ",train
